# SPEC_060 CBP coverage audit,2026-05-17T02:31:31.919901+00:00
# verdict,NO
# verdict: NO
# NAICS-4 × MSA is NOT feasible. Fall back to NAICS × state for the structural-density section (SPEC_061 §3); intake (SPEC_064) becomes NAICS × state with optional county/MSA narrowing for other sections.
"# census_business_patterns NAICS digit coverage: 2d=661, 3d=3236, 4d=10059, 5d=21005, 6d=28408"
"# census_cbp grain breakdown: county/6d: n=7160, counties=2792, states=55"
"# MSA coverage in census_cbp county rows: 359/393 MSAs ≥90% covered, 386/393 ≥50%"

section,naics_code,table,states_covered,counties_covered,years_covered,sum_establishments
naics_detail,6241,census_business_patterns,30,n/a (state grain),1,39896
naics_detail,6242,census_business_patterns,30,n/a (state grain),1,6446
naics_detail,6243,census_business_patterns,30,n/a (state grain),1,3053
naics_detail,6244,census_business_patterns,30,n/a (state grain),1,29587
naics_detail,7111,census_business_patterns,30,n/a (state grain),1,3118
naics_detail,7112,census_business_patterns,30,n/a (state grain),1,1789
naics_detail,7113,census_business_patterns,30,n/a (state grain),1,3262
naics_detail,7114,census_business_patterns,28,n/a (state grain),1,931
naics_detail,7115,census_business_patterns,30,n/a (state grain),1,6995
naics_detail,7121,census_business_patterns,30,n/a (state grain),1,3402
naics_detail,7131,census_business_patterns,29,n/a (state grain),1,1489
naics_detail,7132,census_business_patterns,27,n/a (state grain),1,1917
naics_detail,7139,census_business_patterns,30,n/a (state grain),1,31526
naics_detail,7211,census_business_patterns,30,n/a (state grain),1,24736
naics_detail,7212,census_business_patterns,29,n/a (state grain),1,3353
naics_detail,7213,census_business_patterns,26,n/a (state grain),1,721
naics_detail,7223,census_business_patterns,29,n/a (state grain),1,18924
naics_detail,7224,census_business_patterns,28,n/a (state grain),1,12299
naics_detail,7225,census_business_patterns,28,n/a (state grain),1,187270
naics_detail,8111,census_business_patterns,28,n/a (state grain),1,55108
naics_detail,8112,census_business_patterns,26,n/a (state grain),1,3224
naics_detail,8113,census_business_patterns,26,n/a (state grain),1,7581
naics_detail,8114,census_business_patterns,26,n/a (state grain),1,6400
naics_detail,8121,census_business_patterns,26,n/a (state grain),1,39563
naics_detail,8122,census_business_patterns,25,n/a (state grain),1,6238
naics_detail,8123,census_business_patterns,25,n/a (state grain),1,6273
naics_detail,8129,census_business_patterns,23,n/a (state grain),1,12934
naics_detail,8131,census_business_patterns,23,n/a (state grain),1,49614
naics_detail,8132,census_business_patterns,23,n/a (state grain),1,5443
naics_detail,8133,census_business_patterns,23,n/a (state grain),1,5816
naics_detail,8134,census_business_patterns,23,n/a (state grain),1,6330
naics_detail,8139,census_business_patterns,23,n/a (state grain),1,13607

section,cbsa_code,msa_title,total_counties,covered_counties,coverage_pct
msa_coverage,10180,"Abilene, TX",3,3,100.0
msa_coverage,10380,"Aguadilla, PR",7,7,100.0
msa_coverage,10420,"Akron, OH",2,2,100.0
msa_coverage,10540,"Albany, OR",1,1,100.0
msa_coverage,10580,"Albany-Schenectady-Troy, NY",5,5,100.0
msa_coverage,10740,"Albuquerque, NM",4,4,100.0
msa_coverage,10780,"Alexandria, LA",2,2,100.0
msa_coverage,10900,"Allentown-Bethlehem-Easton, PA-NJ",4,4,100.0
msa_coverage,11020,"Altoona, PA",1,1,100.0
msa_coverage,11180,"Ames, IA",2,2,100.0
msa_coverage,11200,"Amherst Town-Northampton, MA",1,1,100.0
msa_coverage,11260,"Anchorage, AK",2,2,100.0
msa_coverage,11460,"Ann Arbor, MI",1,1,100.0
msa_coverage,11500,"Anniston-Oxford, AL",1,1,100.0
msa_coverage,11540,"Appleton, WI",2,2,100.0
msa_coverage,11640,"Arecibo, PR",4,4,100.0
msa_coverage,11700,"Asheville, NC",3,3,100.0
msa_coverage,12020,"Athens-Clarke County, GA",4,4,100.0
msa_coverage,12060,"Atlanta-Sandy Springs-Roswell, GA",29,29,100.0
msa_coverage,12100,"Atlantic City-Hammonton, NJ",2,2,100.0
msa_coverage,12220,"Auburn-Opelika, AL",2,2,100.0
msa_coverage,12260,"Augusta-Richmond County, GA-SC",7,7,100.0
msa_coverage,12420,"Austin-Round Rock-San Marcos, TX",5,5,100.0
msa_coverage,12540,"Bakersfield-Delano, CA",1,1,100.0
msa_coverage,12580,"Baltimore-Columbia-Towson, MD",7,7,100.0
msa_coverage,12620,"Bangor, ME",1,1,100.0
msa_coverage,12700,"Barnstable Town, MA",1,1,100.0
msa_coverage,12940,"Baton Rouge, LA",10,10,100.0
msa_coverage,12980,"Battle Creek, MI",1,1,100.0
msa_coverage,13020,"Bay City, MI",1,1,100.0
msa_coverage,13140,"Beaumont-Port Arthur, TX",3,3,100.0
msa_coverage,13220,"Beckley, WV",2,2,100.0
msa_coverage,13380,"Bellingham, WA",1,1,100.0
msa_coverage,13460,"Bend, OR",3,3,100.0
msa_coverage,13740,"Billings, MT",3,3,100.0
msa_coverage,13780,"Binghamton, NY",2,2,100.0
msa_coverage,13820,"Birmingham, AL",7,7,100.0
